,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
213932,347905,0,Cash loans,F,N,N,0,90000.0,562491.0,22437.0,454500.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.030755,-17696,-4950,-9071.0,-1238,,1,1,0,1,0,0,Laborers,2.0,2,2,WEDNESDAY,13,0,0,0,0,0,0,Business Entity Type 3,,0.5964918040002051,0.7076993447402619,0.1624,0.08800000000000001,0.9831,0.7688,0.17300000000000001,0.1,0.0862,0.3333,0.375,0.0358,0.1324,0.0769,0.0,0.0,0.1513,0.0666,0.9826,0.7713,0.1265,0.0403,0.0345,0.3333,0.375,0.0308,0.1322,0.052000000000000005,0.0,0.0,0.1639,0.08800000000000001,0.9831,0.7719,0.1741,0.1,0.0862,0.3333,0.375,0.0365,0.1347,0.0782,0.0,0.0,reg oper account,block of flats,0.0685,Panel,No,0.0,0.0,0.0,0.0,-1716.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
6114,107148,0,Cash loans,F,N,Y,2,54000.0,585000.0,18999.0,585000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.02461,-13519,-2436,-5499.0,-1780,,1,1,1,1,1,0,Laborers,4.0,2,2,SATURDAY,9,0,0,0,0,0,0,Business Entity Type 1,0.6491656795982234,0.6401967806420296,0.7295666907060153,0.0186,,0.9856,,,0.0,0.1034,0.0417,,,,,,,0.0189,,0.9856,,,0.0,0.1034,0.0417,,,,,,,0.0187,,0.9856,,,0.0,0.1034,0.0417,,,,,,,,block of flats,0.0131,"Stone, brick",No,0.0,0.0,0.0,0.0,-1702.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
3266,103810,1,Revolving loans,F,N,Y,1,81000.0,135000.0,6750.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.001417,-9571,-2609,-1506.0,-1422,,1,1,0,1,0,0,Medicine staff,3.0,2,2,THURSDAY,9,0,0,0,0,0,0,Other,0.4244899245804851,0.7372746468745458,0.20208660168203949,0.0577,,0.9806,,,,0.1379,0.1667,,,,0.0337,,,0.0588,,0.9806,,,,0.1379,0.1667,,,,0.0351,,,0.0583,,0.9806,,,,0.1379,0.1667,,,,0.0343,,,,block of flats,0.0396,"Stone, brick",No,0.0,0.0,0.0,0.0,-1073.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62150,172084,0,Cash loans,F,N,Y,0,112500.0,341280.0,19719.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-10584,-2520,-1161.0,-1735,,1,1,0,1,0,0,Accountants,2.0,2,2,THURSDAY,12,0,0,0,0,0,0,Business Entity Type 3,0.5404763605653222,0.7806997272809257,0.4436153084085652,0.0381,0.0324,0.9752,0.66,0.0039,0.0,0.0862,0.0833,0.125,0.0428,0.0311,0.0331,0.0,0.0,0.0042,0.0,0.9722,0.6341,0.0,0.0,0.0345,0.0,0.0417,0.0208,0.0037,0.0036,0.0,0.0,0.0385,0.0324,0.9752,0.6645,0.0039,0.0,0.0862,0.0833,0.125,0.0435,0.0316,0.0337,0.0,0.0,reg oper account,block of flats,0.0029,"Stone, brick",No,1.0,0.0,1.0,0.0,-801.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
48787,156497,0,Cash loans,F,N,Y,1,90000.0,142632.0,17055.0,126000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.010006,-13458,-793,-681.0,-4454,,1,1,0,1,0,0,Cooking staff,3.0,2,1,THURSDAY,15,0,0,0,0,0,0,Kindergarten,,0.30990006963557537,0.3996756156233169,0.1175,0.095,0.9786,0.7076,0.0432,0.0,0.069,0.1667,0.2083,0.1021,0.0925,0.0643,0.0154,0.0293,0.1197,0.0985,0.9786,0.7190000000000001,0.0436,0.0,0.069,0.1667,0.2083,0.1044,0.10099999999999999,0.067,0.0156,0.031,0.1187,0.095,0.9786,0.7115,0.0435,0.0,0.069,0.1667,0.2083,0.1039,0.0941,0.0655,0.0155,0.0299,reg oper account,block of flats,0.0785,Panel,No,0.0,0.0,0.0,0.0,-302.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63002,173077,0,Cash loans,F,N,N,1,135000.0,450000.0,20979.0,450000.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.020713,-12321,-155,-2797.0,-4453,,1,1,0,1,0,0,Accountants,3.0,3,2,SATURDAY,14,0,0,0,0,0,0,Other,0.5941022182821519,0.4322597117557273,0.6313545365850379,0.0361,0.0422,0.9831,0.7688,0.0085,0.0,0.1379,0.2083,0.25,0.02,0.0193,0.0651,0.0463,0.0801,0.0368,0.0438,0.9831,0.7779,0.0086,0.0,0.1379,0.2083,0.25,0.0204,0.0211,0.0678,0.0467,0.0848,0.0364,0.0422,0.9831,0.7719,0.0085,0.0,0.1379,0.2083,0.25,0.0203,0.0197,0.0662,0.0466,0.0818,reg oper account,block of flats,0.0686,Panel,No,2.0,0.0,2.0,0.0,-662.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
260795,401805,0,Cash loans,M,Y,Y,0,135000.0,675000.0,36747.0,675000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.015221,-14978,-3990,-8906.0,-4461,5.0,1,1,0,1,0,0,,2.0,2,2,THURSDAY,12,0,0,0,0,0,0,Security Ministries,0.6774330204552781,0.5975966042076,,0.0897,0.0896,0.9821,0.7552,0.0167,0.0,0.2069,0.1667,0.2083,0.0,0.0723,0.0852,0.0039,0.0134,0.0914,0.09300000000000001,0.9821,0.7648,0.0168,0.0,0.2069,0.1667,0.2083,0.0,0.079,0.0888,0.0039,0.0142,0.0906,0.0896,0.9821,0.7585,0.0168,0.0,0.2069,0.1667,0.2083,0.0,0.0735,0.0867,0.0039,0.0137,reg oper account,block of flats,0.0791,Panel,No,1.0,0.0,1.0,0.0,-376.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
25875,130086,0,Cash loans,F,N,Y,0,180000.0,864000.0,44244.0,864000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.010966,-13827,-3824,-4450.0,-603,,1,1,0,1,0,0,Private service staff,2.0,2,2,WEDNESDAY,12,0,0,0,0,0,0,Services,0.3643909318204384,0.5897316943655736,,0.0732,,0.9856,,,,0.1379,0.1667,,,,,,,0.0746,,0.9856,,,,0.1379,0.1667,,,,,,,0.0739,,0.9856,,,,0.1379,0.1667,,,,,,,,block of flats,0.0507,Panel,No,2.0,0.0,2.0,0.0,-2708.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
106060,223054,0,Cash loans,F,N,Y,0,130500.0,594261.0,21474.0,513000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.0228,-22274,365243,-11322.0,-4666,,1,0,0,1,0,0,,2.0,2,2,SUNDAY,12,0,0,0,0,0,0,XNA,0.8660877173082969,0.5005977748692375,0.6817058776720116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1777.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
66849,177516,0,Cash loans,M,Y,Y,2,108000.0,56880.0,2781.0,45000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.031329,-13320,-924,-2704.0,-3866,7.0,1,1,0,1,0,0,,4.0,2,2,WEDNESDAY,15,0,0,0,0,1,1,Business Entity Type 2,,0.6331810488056427,0.4507472818545589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1502.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
