,SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
142801,124735,6560363,Closed,currency 1,-2823,0,-2517.0,-2517.0,,0,167044.5,0.0,0.0,0.0,Consumer credit,-1537,18072.0
369634,435304,5532447,Closed,currency 1,-270,0,-88.0,-218.0,0.0,0,147627.0,0.0,0.0,0.0,Consumer credit,-218,
815184,446898,6389901,Active,currency 1,-145,0,1681.0,,,0,900000.0,,,0.0,Consumer credit,-17,
310206,200405,5858848,Active,currency 1,-883,0,340.0,,,0,225000.0,0.0,0.0,0.0,Credit card,-96,
165078,414171,6254458,Closed,currency 1,-940,0,-307.0,-307.0,0.0,0,551020.41,0.0,0.0,0.0,Consumer credit,-307,
261101,174419,5894985,Closed,currency 1,-1753,0,51.0,-1271.0,0.0,0,0.0,0.0,0.0,0.0,Credit card,-1187,
638933,433337,6229795,Closed,currency 1,-616,0,,-563.0,1665.0,0,0.0,0.0,0.0,0.0,Credit card,-507,
387346,207495,5184402,Active,currency 1,-1087,0,,,,0,65250.0,0.0,,0.0,Credit card,-769,
921231,323513,5072584,Closed,currency 1,-1714,0,110.0,-1172.0,,0,337500.0,0.0,0.0,0.0,Consumer credit,-1150,
1418028,438882,6173768,Closed,currency 1,-376,0,-194.0,-194.0,20500.2,0,118921.77,0.0,0.0,0.0,Consumer credit,-194,
212369,349419,6580138,Active,currency 1,-392,0,1434.0,,0.0,0,270000.0,,,0.0,Consumer credit,-21,6853.5
85986,373517,5730769,Closed,currency 1,-2310,0,-484.0,-479.0,,0,1350000.0,0.0,0.0,0.0,Consumer credit,-466,
1518823,258342,5325279,Closed,currency 1,-762,0,-582.0,-582.0,0.0,0,229050.0,0.0,0.0,0.0,Consumer credit,-577,
12020,304341,6021098,Active,currency 1,-656,0,1141.0,,,0,0.0,0.0,0.0,0.0,Credit card,-78,
765259,114062,6234800,Closed,currency 1,-1331,0,-1026.0,-1057.0,,0,92610.0,0.0,,0.0,Consumer credit,-1021,
1297553,160705,6342250,Closed,currency 1,-1315,0,-227.0,-227.0,,0,135000.0,0.0,0.0,0.0,Consumer credit,-204,
1367018,184399,5417178,Closed,currency 1,-847,0,-635.0,-753.0,,0,72649.8,0.0,,0.0,Consumer credit,-728,12375.0
379065,212821,5031996,Active,currency 1,-870,0,249.0,,,0,0.0,,,0.0,Credit card,-753,
1470571,327951,5978066,Closed,currency 1,-2489,0,-1189.0,-1189.0,801.765,1,13500.0,0.0,0.0,0.0,Credit card,-1159,
738483,223466,5162208,Closed,currency 1,-690,0,-325.0,-536.0,,0,27013.5,0.0,0.0,0.0,Consumer credit,-534,
1367647,140492,5417942,Active,currency 1,-1373,0,1170.0,,0.0,0,0.0,-43.02,43.02,0.0,Credit card,-613,
1616517,126288,6503828,Closed,currency 1,-1676,0,-1492.0,-1492.0,0.0,0,23031.9,0.0,0.0,0.0,Consumer credit,-1492,
1065177,375478,6480781,Active,currency 1,-980,0,115.0,,,0,270000.0,49243.5,0.0,0.0,Consumer credit,-33,0.0
792238,394714,6503814,Active,currency 1,-1233,0,-496.0,,12933.0,0,1350000.0,0.0,0.0,0.0,Consumer credit,-24,
1599848,128258,5334535,Closed,currency 1,-1185,0,-439.0,-439.0,0.0,0,115695.0,,,0.0,Consumer credit,-437,
489548,200419,5090457,Active,currency 1,-517,0,1332.0,,,0,225000.0,181077.75,43922.25,0.0,Credit card,-29,
1082144,448720,6218033,Closed,currency 1,-1628,0,-1019.0,-1019.0,,0,143802.0,0.0,,0.0,Consumer credit,-953,0.0
408080,269047,6422986,Active,currency 1,-766,0,,,8334.405,0,202500.0,202252.5,243.495,0.0,Credit card,-25,
