,SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
2854653,1376803,376813,-55,0.0,0,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
1699990,2045455,383797,-7,98027.73,450000,0.0,0.0,0.0,0.0,5721.165,13500.0,7992.675,96646.635,98027.73,98027.73,0.0,0,0.0,0.0,7.0,Active,0,0
260927,1284139,172942,-22,64750.05,135000,0.0,0.0,0.0,0.0,6750.0,9000.0,9000.0,61568.145,64750.05,64750.05,0.0,0,0.0,0.0,83.0,Active,0,0
1752447,2533480,422023,-54,0.0,0,0.0,0.0,0.0,0.0,0.0,218.925,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,Active,0,0
469443,2032098,451493,-28,0.0,0,0.0,0.0,0.0,0.0,0.0,1366.29,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,20.0,Active,0,0
1970331,1887693,442073,-14,0.0,0,0.0,0.0,0.0,0.0,0.0,112.77,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,Active,0,0
2425536,2717868,158809,-28,0.0,450000,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,Active,0,0
105454,1862486,342634,-7,0.0,135000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1221849,1217766,329919,-14,125803.08,135000,0.0,0.0,0.0,0.0,6555.195,6750.0,251.55,123219.315,126760.635,126760.635,0.0,0,0.0,0.0,3.0,Active,0,0
625720,1692400,425924,-90,99566.955,135000,0.0,0.0,0.0,0.0,6750.0,6750.0,6750.0,95954.265,99566.955,99566.955,0.0,0,0.0,0.0,11.0,Active,0,0
3314072,2471699,373171,-62,0.0,0,0.0,0.0,0.0,0.0,0.0,27.045,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,Active,0,0
2021959,1102722,224306,-73,140491.485,135000,6750.0,6750.0,0.0,0.0,6750.0,9000.0,9000.0,134106.39,140491.485,140491.485,2.0,2,0.0,0.0,19.0,Active,0,0
2865758,2058204,122152,-19,0.0,180000,0.0,0.0,0.0,0.0,0.0,286.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,Active,0,0
