,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
720496,1919640,103653,Consumer loans,3705.3,47205.0,30658.5,18882.0,47205.0,THURSDAY,13,Y,1,0.4150990511895225,,,XAP,Approved,-1796,Cash through the bank,XAP,Other_B,Refreshed,Consumer Electronics,POS,XNA,Country-wide,2910,Consumer electronics,10.0,middle,POS household with interest,365243.0,-1765.0,-1495.0,-1495.0,-1492.0,0.0
1002106,1535795,161983,Consumer loans,10827.405,100030.5,97456.5,10003.5,100030.5,TUESDAY,7,Y,1,0.1013839652809502,,,XAP,Approved,-2487,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Country-wide,2153,Consumer electronics,10.0,low_normal,POS household without interest,365243.0,-2456.0,-2186.0,-2186.0,-2181.0,1.0
1414093,2366335,132777,Consumer loans,15083.73,68355.0,56610.0,13671.0,68355.0,SUNDAY,4,Y,1,0.2118490320027009,,,XAP,Approved,-810,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Stone,32,Connectivity,4.0,middle,POS mobile without interest,365243.0,-766.0,-676.0,-736.0,-733.0,0.0
1299129,2110054,231082,Cash loans,15884.775,135000.0,143910.0,,135000.0,FRIDAY,14,Y,1,,,,XNA,Approved,-1145,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Country-wide,40,Connectivity,12.0,high,Cash X-Sell: high,365243.0,-1115.0,-785.0,-785.0,-779.0,1.0
386703,2813957,252966,Cash loans,24702.885,315000.0,340573.5,,315000.0,THURSDAY,9,Y,1,,,,XNA,Approved,-1281,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,middle,Cash X-Sell: middle,365243.0,-1246.0,-736.0,-766.0,-752.0,0.0
774703,2812795,432915,Revolving loans,6750.0,0.0,135000.0,,,TUESDAY,17,Y,1,,,,XAP,Approved,-761,XNA,XAP,,Repeater,XNA,Cards,x-sell,Contact center,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
1262482,1411074,141021,Cash loans,50320.125,675000.0,721332.0,,675000.0,THURSDAY,8,Y,1,,,,XNA,Approved,-761,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,24.0,high,Cash X-Sell: high,365243.0,-731.0,-41.0,-251.0,-240.0,1.0
1057010,2774071,266708,Consumer loans,12554.685,134505.0,134505.0,0.0,134505.0,FRIDAY,15,Y,1,0.0,,,XAP,Approved,-633,Cash through the bank,XAP,,Repeater,Computers,POS,XNA,Regional / Local,200,Consumer electronics,12.0,low_normal,POS household with interest,365243.0,-602.0,-272.0,-332.0,-330.0,0.0
149459,2414777,290273,Consumer loans,11017.575,109845.0,144009.0,0.0,109845.0,THURSDAY,7,Y,1,0.0,,,XAP,Approved,-1841,XNA,XAP,Family,Refreshed,Construction Materials,POS,XNA,Regional / Local,145,Consumer electronics,18.0,middle,POS household with interest,365243.0,-1810.0,-1300.0,-1300.0,-1292.0,0.0
18293,2425519,429627,Consumer loans,9597.51,77256.0,84906.0,0.0,77256.0,SUNDAY,19,Y,1,0.0,,,XAP,Approved,-1133,Cash through the bank,XAP,Family,New,Audio/Video,POS,XNA,Country-wide,500,Consumer electronics,12.0,high,POS household with interest,365243.0,-1102.0,-772.0,-772.0,-769.0,0.0
